cell_id,cafe,pharmacy,restaurant,supermarket,avg_rating,avg_reviews,population_sum,population_mean,activity_vibrancy,quality_gap
146,1.0,0.0,0.0,1.0,2.0,0.5,1676.0,46.56,0.4054651081081644,1.2163953243244932
147,2.0,0.0,2.0,2.0,3.1666666666666665,10.5,692.0,19.22,2.4423470353692043,4.477636231510208
148,0.0,0.0,0.0,0.0,0.0,0.0,212.0,5.89,0.0,2.0
149,4.0,1.0,1.0,5.0,3.6454545454545455,35.54545454545455,1185.0,32.91,3.5985568158206505,4.874408777793426
150,0.0,2.0,0.0,4.0,2.1,12.5,1181.0,39.36,2.6026896854443837,7.547800087788713
151,5.0,1.0,5.0,1.0,3.5500000000000003,23.75,629.0,17.46,3.2088254890146994,4.652796959071313
152,3.0,0.0,1.0,0.0,4.9,5.5,97.0,2.69,1.8718021769015913,0.18718021769015847
153,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.44,0.0,2.0
155,0.0,0.0,0.0,0.0,0.0,0.0,125.0,4.3,0.0,2.0
156,0.0,0.0,0.0,1.0,0.0,0.0,722.0,20.06,0.0,2.0
157,0.0,0.0,0.0,0.0,0.0,0.0,138.0,3.84,0.0,2.0
158,0.0,1.0,0.0,1.0,4.75,19.5,391.0,13.04,3.0204248861443626,0.7551062215360906
159,0.0,0.0,0.0,0.0,0.0,0.0,541.0,15.04,0.0,2.0
160,0.0,0.0,0.0,0.0,0.0,0.0,336.0,9.34,0.0,2.0
161,0.0,0.0,0.0,1.0,4.1,9.0,186.0,5.18,2.302585092994046,2.0723265836946423
162,0.0,0.0,0.0,1.0,5.0,2.0,720.0,19.99,1.0986122886681096,0.0
163,0.0,1.0,0.0,2.0,3.333333333333333,0.6666666666666666,440.0,14.68,0.5108256237659907,0.8513760396099846
164,0.0,1.0,0.0,3.0,3.475,16.5,233.0,6.48,2.8622008809294686,4.364856343417439
165,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.37,0.0,2.0
166,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.72,0.0,2.0
167,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.57,0.0,2.0
168,0.0,0.0,0.0,1.0,0.0,0.0,85.0,4.27,0.0,2.0
169,0.0,0.0,0.0,1.0,0.0,0.0,360.0,11.99,0.0,2.0
170,0.0,0.0,0.0,0.0,0.0,0.0,67.0,2.41,0.0,2.0
171,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.35,0.0,2.0
172,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.0,2.0
173,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.26,0.0,2.0
174,0.0,0.0,0.0,0.0,0.0,0.0,178.0,8.9,0.0,2.0
175,0.0,0.0,0.0,1.0,5.0,1.0,533.0,19.05,0.6931471805599453,0.0
176,1.0,0.0,0.0,0.0,3.7,3.0,245.0,9.82,1.3862943611198906,1.8021826694558576
177,1.0,0.0,0.0,0.0,4.2,5.0,78.0,2.62,1.791759469228055,1.4334075753824436
178,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.22,0.0,2.0
179,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.87,0.0,2.0
180,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.04,0.0,2.0
182,0.0,0.0,0.0,0.0,0.0,0.0,141.0,6.11,0.0,2.0
183,0.0,0.0,0.0,0.0,0.0,0.0,536.0,14.9,0.0,2.0
184,0.0,0.0,0.0,0.0,0.0,0.0,376.0,10.45,0.0,2.0
185,0.0,0.0,0.0,0.0,0.0,0.0,117.0,3.91,0.0,2.0
186,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.68,0.0,2.0
187,0.0,0.0,0.0,1.0,5.0,1.0,15.0,0.93,0.6931471805599453,0.0
188,1.0,0.0,0.0,0.0,3.5,2.0,353.0,14.13,1.0986122886681096,1.6479184330021643
189,2.0,0.0,0.0,0.0,4.35,341.0,185.0,6.16,5.834810737062605,3.792626979090695
190,0.0,0.0,0.0,1.0,4.1,947.0,199.0,5.53,6.854354502255021,6.168919052029522
191,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.22,0.0,2.0
192,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.22,0.0,2.0
193,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.21,0.0,2.0
195,0.0,0.0,0.0,0.0,0.0,0.0,147.0,8.18,0.0,2.0
196,0.0,0.0,0.0,0.0,0.0,0.0,712.0,19.77,0.0,2.0
197,0.0,0.0,0.0,0.0,0.0,0.0,914.0,25.38,0.0,2.0
198,0.0,0.0,0.0,0.0,0.0,0.0,125.0,4.63,0.0,2.0
199,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.17,0.0,2.0
200,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.88,0.0,2.0
